DATE,AWAY_TEAM,HOME_TEAM
2/13/24,OKC,ORL
2/13/24,MIA,MIL
2/13/24,SAC,PHO
2/13/24,MIN,POR
2/13/24,DET,LAL
2/14/24,ATL,CHO
2/14/24,NYK,ORL
2/14/24,MIA,PHI
2/14/24,BRK,BOS
2/14/24,CHI,CLE
2/14/24,IND,TOR
2/14/24,HOU,MEM
2/14/24,WAS,NOP
2/14/24,SAS,DAL
2/14/24,SAC,DEN
2/14/24,DET,PHO
2/14/24,LAL,UTA
2/14/24,LAC,GSW
2/15/24,MIL,MEM
2/15/24,MIN,POR
2/22/24,ORL,CLE
2/22/24,DET,IND
2/22/24,NYK,PHI
2/22/24,BRK,TOR
2/22/24,PHO,DAL
2/22/24,BOS,CHI
2/22/24,HOU,NOP
2/22/24,LAC,OKC
2/22/24,WAS,DEN
2/22/24,CHO,UTA
2/22/24,LAL,GSW
2/22/24,SAS,SAC
2/23/24,TOR,ATL
2/23/24,CLE,PHI
2/23/24,PHO,HOU
2/23/24,LAC,MEM
2/23/24,MIL,MIN
2/23/24,WAS,OKC
2/23/24,CHO,GSW
2/23/24,MIA,NOP
2/23/24,DEN,POR
2/23/24,SAS,LAL
2/24/24,ORL,DET
2/24/24,BRK,MIN
2/24/24,BOS,NYK
2/25/24,MIL,PHI
2/25/24,LAL,PHO
2/25/24,DAL,IND
2/25/24,CLE,WAS
2/25/24,ORL,ATL
2/25/24,DEN,GSW
2/25/24,OKC,HOU
2/25/24,CHI,NOP
2/25/24,SAS,UTA
2/25/24,CHO,POR
2/25/24,SAC,LAC
2/26/24,NYK,DET
2/26/24,TOR,IND
2/26/24,BRK,MEM
2/26/24,MIA,SAC
2/27/24,DAL,CLE
2/27/24,BRK,ORL
2/27/24,GSW,WAS
2/27/24,UTA,ATL
2/27/24,PHI,BOS
2/27/24,SAS,MIN
2/27/24,NOP,NYK
2/27/24,DET,CHI
2/27/24,CHO,MIL
2/27/24,HOU,OKC
2/27/24,MIA,POR
