,QUARTER,TIME_REMAINING,AWAY_SCORE,HOME_SCORE,POINT_DIFF,TIME_ELAPSED,indicator
40,4,2023-04-01 07:43:00,66,75,-9,0 days 00:02:00,2
41,4,2023-04-01 07:41:00,66,75,-9,0 days 00:00:00,0
42,4,2023-04-01 07:41:00,66,75,-9,0 days 00:00:00,0
43,4,2023-04-01 07:41:00,66,76,-10,0 days 00:03:00,3
44,4,2023-04-01 07:38:00,66,76,-10,0 days 00:01:00,1
45,4,2023-04-01 07:37:00,66,76,-10,0 days 00:20:00,20
46,4,2023-04-01 07:17:00,66,76,-10,0 days 00:00:00,0
47,4,2023-04-01 07:17:00,66,76,-10,0 days 00:09:00,9
48,4,2023-04-01 07:08:00,66,76,-10,0 days 00:00:00,0
49,4,2023-04-01 07:08:00,66,76,-10,0 days 00:07:00,7
50,4,2023-04-01 07:01:00,66,76,-10,0 days 00:21:00,21
51,4,2023-04-01 06:40:00,66,76,-10,0 days 00:01:00,1
52,4,2023-04-01 06:39:00,68,76,-8,0 days 00:00:00,0
53,4,2023-04-01 06:39:00,68,76,-8,0 days 00:20:00,20
54,4,2023-04-01 06:19:00,68,76,-8,0 days 00:02:00,2
55,4,2023-04-01 06:17:00,68,76,-8,0 days 00:16:00,16
56,4,2023-04-01 06:01:00,70,76,-6,0 days 00:20:00,20
57,4,2023-04-01 05:41:00,70,79,-9,0 days 00:03:00,3
58,4,2023-04-01 05:38:00,70,79,-9,0 days 00:00:00,0
59,4,2023-04-01 05:38:00,70,79,-9,0 days 00:16:00,16
60,4,2023-04-01 05:22:00,72,79,-7,0 days 00:19:00,19
61,4,2023-04-01 05:03:00,72,81,-9,0 days 00:14:00,14
62,4,2023-04-01 04:49:00,75,81,-6,0 days 00:22:00,22
63,4,2023-04-01 04:27:00,75,83,-8,0 days 00:23:00,23
64,4,2023-04-01 04:04:00,75,83,-8,0 days 00:02:00,2
65,4,2023-04-01 04:02:00,75,83,-8,0 days 00:10:00,10
66,4,2023-04-01 03:52:00,75,83,-8,0 days 00:02:00,2
67,4,2023-04-01 03:50:00,75,83,-8,0 days 00:09:00,9
68,4,2023-04-01 03:41:00,78,83,-5,0 days 00:20:00,20
69,4,2023-04-01 03:21:00,78,83,-5,0 days 00:01:00,1
70,4,2023-04-01 03:20:00,78,83,-5,0 days 00:17:00,17
71,4,2023-04-01 03:03:00,78,83,-5,0 days 00:01:00,1
72,4,2023-04-01 03:02:00,78,83,-5,0 days 00:17:00,17
73,4,2023-04-01 02:45:00,78,83,-5,0 days 00:00:00,0
74,4,2023-04-01 02:45:00,78,83,-5,0 days 00:10:00,10
75,4,2023-04-01 02:35:00,78,83,-5,0 days 00:02:00,2
76,4,2023-04-01 02:33:00,78,83,-5,0 days 00:05:00,5
77,4,2023-04-01 02:28:00,78,83,-5,0 days 00:00:00,0
78,4,2023-04-01 02:28:00,79,83,-4,0 days 00:00:00,0
79,4,2023-04-01 02:28:00,80,83,-3,0 days 00:18:00,18
80,4,2023-04-01 02:10:00,80,83,-3,0 days 00:00:00,0
81,4,2023-04-01 02:10:00,80,84,-4,0 days 00:00:00,0
82,4,2023-04-01 02:10:00,80,85,-5,0 days 00:15:00,15
83,4,2023-04-01 01:55:00,80,85,-5,0 days 00:01:00,1
84,4,2023-04-01 01:54:00,80,85,-5,0 days 00:06:00,6
