DATE,AWAY_TEAM,HOME_TEAM
Dec 2 2022,TOR,BRK
Dec 2 2022,ORL,CLE
Dec 2 2022,LAL,MIL
Dec 2 2022,PHI,MEM
Dec 2 2022,NOP,SAS
Dec 2 2022,HOU,PHO
Dec 2 2022,IND,UTA
Dec 2 2022,CHI,GSW
Dec 3 2022,DAL,NYK
Dec 3 2022,SAC,LAC
Dec 3 2022,MIL,CHO
Dec 3 2022,OKC,MIN
Dec 3 2022,ORL,TOR
Dec 3 2022,HOU,GSW
Dec 3 2022,POR,UTA
Dec 4 2022,DEN,NOP
Dec 4 2022,PHO,SAS
Dec 4 2022,BOS,BRK
Dec 4 2022,MEM,DET
Dec 4 2022,CLE,NYK
Dec 4 2022,CHI,SAC
Dec 4 2022,LAL,WAS
Dec 4 2022,IND,POR
Dec 5 2022,LAC,CHO
Dec 5 2022,MIL,ORL
Dec 5 2022,OKC,ATL
Dec 5 2022,BOS,TOR
Dec 5 2022,PHI,HOU
Dec 5 2022,MIA,MEM
Dec 5 2022,PHO,DAL
Dec 5 2022,IND,GSW
Dec 6 2022,LAL,CLE
Dec 6 2022,DET,MIA
Dec 6 2022,DAL,DEN
Dec 7 2022,LAC,ORL
Dec 7 2022,CHO,BRK
Dec 7 2022,ATL,NYK
Dec 7 2022,LAL,TOR
Dec 7 2022,WAS,CHI
Dec 7 2022,OKC,MEM
Dec 7 2022,SAC,MIL
Dec 7 2022,IND,MIN
Dec 7 2022,DET,NOP
Dec 7 2022,GSW,UTA
Dec 7 2022,BOS,PHO
Dec 8 2022,LAC,MIA
Dec 8 2022,HOU,SAS
Dec 8 2022,DEN,POR
Dec 9 2022,NYK,CHO
Dec 9 2022,WAS,IND
Dec 9 2022,TOR,ORL
Dec 9 2022,ATL,BRK
Dec 9 2022,SAC,CLE
Dec 9 2022,LAL,PHI
Dec 9 2022,DET,MEM
Dec 9 2022,PHO,NOP
Dec 9 2022,MIN,UTA
Dec 9 2022,MIL,DAL
Dec 10 2022,SAS,MIA
Dec 10 2022,BRK,IND
Dec 10 2022,LAC,WAS
Dec 10 2022,OKC,CLE
Dec 10 2022,DAL,CHI
Dec 10 2022,BOS,GSW
Dec 10 2022,UTA,DEN
Dec 10 2022,MIN,POR
Dec 11 2022,PHO,NOP
Dec 11 2022,LAL,DET
Dec 11 2022,SAC,NYK
Dec 11 2022,TOR,ORL
Dec 11 2022,CHO,PHI
Dec 11 2022,CHI,ATL
Dec 11 2022,MIL,HOU
Dec 12 2022,MIA,IND
Dec 12 2022,BRK,WAS
Dec 12 2022,ATL,MEM
Dec 12 2022,OKC,DAL
Dec 12 2022,CLE,SAS
Dec 12 2022,MIN,POR
Dec 12 2022,BOS,LAC
Dec 13 2022,SAC,PHI
Dec 13 2022,GSW,MIL
Dec 13 2022,PHO,HOU
Dec 13 2022,NOP,UTA
Dec 13 2022,BOS,LAL
Dec 14 2022,DET,CHO
Dec 14 2022,GSW,IND
Dec 14 2022,ATL,ORL
Dec 14 2022,NYK,CHI
Dec 14 2022,SAC,TOR
Dec 14 2022,MIA,OKC
Dec 14 2022,POR,SAS
Dec 14 2022,CLE,DAL
Dec 14 2022,WAS,DEN
Dec 14 2022,MIN,LAC
Dec 15 2022,MIA,HOU
Dec 15 2022,MIL,MEM
Dec 15 2022,NOP,UTA
Dec 15 2022,PHO,LAC
Dec 16 2022,ATL,CHO
Dec 16 2022,SAC,DET
Dec 16 2022,ORL,BOS
Dec 16 2022,IND,CLE
Dec 16 2022,GSW,PHI
Dec 16 2022,BRK,TOR
Dec 16 2022,NYK,CHI
Dec 16 2022,MIN,OKC
Dec 16 2022,POR,DAL
Dec 16 2022,DEN,LAL
Dec 17 2022,WAS,LAC
Dec 17 2022,MIA,SAS
Dec 17 2022,DAL,CLE
Dec 17 2022,POR,HOU
Dec 17 2022,UTA,MIL
Dec 17 2022,MEM,OKC
Dec 17 2022,NOP,PHO
Dec 18 2022,ORL,BOS
Dec 18 2022,NYK,IND
Dec 18 2022,BRK,DET
Dec 18 2022,GSW,TOR
Dec 18 2022,CHI,MIN
Dec 18 2022,CHO,DEN
Dec 18 2022,WAS,LAL
Dec 19 2022,UTA,CLE
Dec 19 2022,TOR,PHI
Dec 19 2022,ORL,ATL
Dec 19 2022,SAS,HOU
Dec 19 2022,DAL,MIN
Dec 19 2022,MIL,NOP
Dec 19 2022,POR,OKC
Dec 19 2022,LAL,PHO
Dec 19 2022,CHO,SAC
Dec 20 2022,UTA,DET
Dec 20 2022,CHI,MIA
Dec 20 2022,GSW,NYK
Dec 20 2022,WAS,PHO
Dec 20 2022,MEM,DEN
Dec 21 2022,MIL,CLE
Dec 21 2022,DET,PHI
Dec 21 2022,CHI,ATL
Dec 21 2022,IND,BOS
Dec 21 2022,GSW,BRK
Dec 21 2022,TOR,NYK
Dec 21 2022,ORL,HOU
Dec 21 2022,DAL,MIN
Dec 21 2022,POR,OKC
Dec 21 2022,LAL,SAC
Dec 21 2022,CHO,LAC
Dec 22 2022,SAS,NOP
Dec 22 2022,WAS,UTA
Dec 23 2022,SAS,ORL
Dec 23 2022,LAC,PHI
Dec 23 2022,DET,ATL
Dec 23 2022,MIN,BOS
Dec 23 2022,MIL,BRK
Dec 23 2022,TOR,CLE
Dec 23 2022,CHI,NYK
Dec 23 2022,DAL,HOU
Dec 23 2022,IND,MIA
Dec 23 2022,NOP,OKC
Dec 23 2022,POR,DEN
Dec 23 2022,MEM,PHO
Dec 23 2022,WAS,SAC
Dec 23 2022,CHO,LAL
Dec 25 2022,PHI,NYK
Dec 25 2022,LAL,DAL
Dec 25 2022,MIL,BOS
Dec 25 2022,MEM,GSW
Dec 25 2022,PHO,DEN
Dec 26 2022,BRK,CLE
Dec 26 2022,LAC,DET
Dec 26 2022,MIN,MIA
Dec 26 2022,HOU,CHI
Dec 26 2022,IND,NOP
Dec 26 2022,UTA,SAS
Dec 26 2022,CHO,POR
Dec 27 2022,LAL,ORL
Dec 27 2022,PHI,WAS
Dec 27 2022,HOU,BOS
Dec 27 2022,ATL,IND
Dec 27 2022,LAC,TOR
Dec 27 2022,PHO,MEM
Dec 27 2022,SAS,OKC
Dec 27 2022,NYK,DAL
Dec 27 2022,CHO,GSW
Dec 27 2022,DEN,SAC
Dec 28 2022,ORL,DET
Dec 28 2022,PHO,WAS
Dec 28 2022,BRK,ATL
Dec 28 2022,LAL,MIA
Dec 28 2022,MIL,CHI
Dec 28 2022,MIN,NOP
Dec 28 2022,UTA,GSW
Dec 28 2022,DEN,SAC
Dec 29 2022,OKC,CHO
Dec 29 2022,CLE,IND
Dec 29 2022,LAC,BOS
Dec 29 2022,MEM,TOR
Dec 29 2022,NYK,SAS
Dec 29 2022,HOU,DAL
Dec 30 2022,WAS,ORL
